CHAMPIONNAT;DATE;HEURE;DOM;scoreD;scoreE;EXT
r2;2023-07-14;15h30;RAS GAVE ET BAISES MONEIN;;;RAS ENT NIVELLE URRUGNE
r2;2023-06-10;16h;RAS ASB-ASSM-ASO BAYONNE;14;33;RAS GAVE ET BAISES MONEIN
r2;2023-05-20;14h;RAS GAVE ET BAISES MONEIN;28;10;US BARDOS
r2;2023-06-02;15h20;US MOUGUERRE 2;24;13;RAS GAVE ET BAISES MONEIN
