POSITION;EQUIPES;J;G;N;P;+/-;Pts
1;RAS LARRESSORE ARCANGUES BASUSSARRY;10;7;0;3;145;34
2;US MOUGUERRE 2;10;6;1;3;66;31
3;US BARDOS;10;6;1;3;-8;27
4;RAS ASB-ASSM-ASO BAYONNE;10;5;0;5;52;26
5;RAS GAVE ET BAISES MONEIN;10;5;0;5;-23;21
6;RAS ENT NIVELLE URRUGNE;10;0;0;10;-232;2
