POSITION;EQUIPES;J;G;N;P;+/-;Pts
1;ES ARUDYENNE;0;0;0;0;0;0
2;RAS ESCOU-LASSEUBE;0;0;0;0;0;0
3;BIDART UNION CLUB;0;0;0;0;0;0
4;SA MONEIN;0;0;0;0;0;0
5;RC BAL;0;0;0;0;0;0
6;ES LEMBEYE;0;0;0;0;0;0
7;RC POUILLON LABATUT XV;0;0;0;0;0;0
8;BENEJACQ OLYMPIQUE;0;0;0;0;0;0
9;CAPBRETON HOSSEGOR RUGBY;0;0;0;0;0;0
10;HABAS RUGBY;0;0;0;0;0;0
